State,Median Income,Medicare spending per patient,Skilled Nursing Facility,Weighted Efficiency Domain Score,spending
AZ,627.7902564,0.63963629,1.970741065,0,medium
AZ,296.7985898,0.594861749,1.532488448,1.557801878,medium
AZ,528.7569231,0.594861749,1.803255988,1.557801878,medium
AZ,412.1319231,0.633239927,1.122150011,0,medium
AZ,412.1319231,0.620447201,2.105659598,0,medium
AZ,299.6652564,0.575672661,1.517600886,3.338146881,medium
AZ,463.7485898,0.607654475,1.657171783,0.778900939,medium
AZ,274.6485898,0.607654475,1.727887704,1.168351408,medium
AZ,539.5485898,0.671618104,3.497646677,0,medium
AZ,229.7735898,0.479727217,0.554561697,0.602647723,low
AZ,642.5402564,0.588465387,1.429205984,1.557801878,medium
AZ,437.6152564,0.601258112,1.724165813,0.778900939,medium
AZ,399.3652564,0.594861749,0.953734462,1.168351408,medium
AZ,355.0152564,0.601258112,1.579012081,1.168351408,medium
AZ,697.8485898,0.620447201,1.962366811,0.389450469,medium
AZ,755.0902564,0.518105395,0.74530859,7.789009389,low
AZ,488.9069231,0.665221741,2.443421169,0,medium
AZ,667.2485898,0.614050838,1.661824146,0.389450469,medium
AZ,1005.54859,0.633239927,1.784646535,0,medium
AZ,523.1902564,0.588465387,1.723235341,2.225431254,medium
AZ,239.6735898,0.614050838,2.172653629,0.556357814,medium
AZ,375.5235898,0.594861749,1.382682352,1.557801878,medium
AZ,319.0402564,0.53089812,1.072834961,0.602647723,low
AZ,338.6652564,0.439177239,1.980251377,0.602647723,low
AZ,327.7652564,0.439177239,1.980251377,0.602647723,low
AZ,390.7569231,0.439177239,1.980251377,0.602647723,low
AZ,240.4902564,0.439177239,1.980251377,0.602647723,low
AZ,386.4735898,0.439177239,1.980251377,0.602647723,low
AZ,311.8735898,0.439177239,1.980251377,0.602647723,low
AZ,200.0569231,0.439177239,1.980251377,0.602647723,low
AZ,318.0319231,0.439177239,1.980251377,0.602647723,low
AZ,253.9735898,0.439177239,1.980251377,0.602647723,low
AZ,332.4235898,0.439177239,1.980251377,0.602647723,low
AZ,368.9235898,0.439177239,1.980251377,0.602647723,low
AZ,290.0569231,0.439177239,1.980251377,0.602647723,low
AZ,365.4069231,0.439177239,1.980251377,0.602647723,low
AR,331.9569231,0.626843564,2.730937216,0.389450469,medium
AR,247.9485898,0.575672661,1.464563945,2.336702817,medium
AR,382.1402564,0.658825378,1.805116934,0,medium
AR,386.5735898,0.626843564,1.65624131,0.389450469,medium
AR,546.0569231,0.607654475,2.393175646,0.778900939,medium
AR,301.6069231,0.492519943,1.038407473,4.868130868,low
AR,346.7652564,0.626843564,2.252674276,0,medium
AR,267.9735898,0.671618104,2.109381489,1.112715627,medium
AR,386.5735898,0.626843564,1.369655735,0,medium
AR,298.9319231,0.569276298,3.224087719,2.726153286,medium
AR,331.4569231,0.716392644,2.88353473,0,medium
AR,233.9485898,0.601258112,1.260790436,1.947252347,medium
AR,303.7069231,0.620447201,1.70183447,0.389450469,medium
AR,363.8902564,0.63963629,2.1940545,0.778900939,medium
AR,385.9680787,0.626843564,2.583922538,0.389450469,medium
AR,301.5985898,0.601258112,2.293615073,1.168351408,medium
AR,395.2735898,0.652429015,3.176633614,0,medium
AR,283.6985898,0.646032653,1.850710093,0,medium
AR,324.3485898,0.658825378,2.323390197,0.778900939,medium
AR,287.9819231,0.626843564,2.429464079,0.389450469,medium
AR,270.0985898,0.646032653,2.417367935,0,medium
AR,274.7985898,0.652429015,4.3778738,0.973626174,medium
AR,260.0152564,0.601258112,3.715377276,1.947252347,medium
AR,271.9569231,0.678014467,3.042645553,0,medium
AR,385.9680787,0.68441083,2.174514574,0,medium
AR,385.9680787,0.665221741,2.489014328,0,medium
AR,385.9680787,0.671618104,3.712585858,0,medium
AR,288.0652564,0.607654475,2.634168061,1.557801878,medium
AR,339.0819231,0.652429015,2.649055624,0,medium
AR,300.3152564,0.569276298,2.156835594,2.726153286,medium
AR,362.2569231,0.780356273,2.904935601,0,high
AR,311.3652564,0.582069024,2.636959479,1.947252347,medium
AR,295.9235898,0.658825378,1.888859472,0,medium
AR,236.1235898,0.633239927,3.265958988,0.389450469,medium
AR,376.4402564,0.594861749,2.449004005,1.168351408,medium
AR,244.9735898,0.53089812,0.658774634,3.894504694,low
AR,385.9680787,0.68441083,3.275263714,0,medium
AR,386.5735898,0.626843564,1.857223402,0.389450469,medium
AR,303.7069231,0.626843564,1.598552006,0.389450469,medium
AR,385.9680787,0.626843564,2.429464079,0,medium
AR,295.9235898,0.439177239,1.980251377,0.602647723,low
AR,489.5735898,0.575672661,0.550839807,1.947252347,medium
AR,481.5402564,0.748374459,1.731609594,0,medium
AR,290.9819231,0.575672661,0.968622025,2.781789067,medium
AR,382.1402564,0.633239927,1.879554745,0,medium
AR,281.5402564,0.582069024,3.744221928,2.434065434,medium
AR,287.6485898,0.439177239,1.980251377,0.602647723,low
AR,319.4902564,0.439177239,1.980251377,0.602647723,low
AR,265.5985898,0.439177239,1.980251377,0.602647723,low
AR,285.5652564,0.439177239,1.980251377,0.602647723,low
AR,291.5902564,0.439177239,1.980251377,0.602647723,low
AR,340.0902564,0.439177239,1.980251377,0.602647723,low
AR,198.9652564,0.439177239,1.980251377,0.602647723,low
AR,217.8319231,0.439177239,1.980251377,0.602647723,low
AR,257.4902564,0.439177239,1.980251377,0.602647723,low
AR,290.9319231,0.439177239,1.980251377,0.602647723,low
AR,276.4985898,0.439177239,1.980251377,0.602647723,low
AR,245.3485898,0.439177239,1.980251377,0.602647723,low
AR,287.5902564,0.439177239,1.980251377,0.602647723,low
AR,250.2819231,0.439177239,1.980251377,0.602647723,low
AR,222.3152564,0.439177239,1.980251377,0.602647723,low
AR,325.0569231,0.439177239,1.980251377,0.602647723,low
AR,265.4402564,0.439177239,1.980251377,0.602647723,low
AR,274.3319231,0.439177239,1.980251377,0.602647723,low
AR,276.3485898,0.439177239,1.980251377,0.602647723,low
AR,250.5485898,0.439177239,1.980251377,0.602647723,low
AR,302.9735898,0.439177239,1.980251377,0.602647723,low
AR,289.3402564,0.439177239,1.980251377,0.602647723,low
AR,275.6235898,0.439177239,1.980251377,0.602647723,low
AR,270.8902564,0.439177239,1.980251377,0.602647723,low
AR,231.8402564,0.439177239,1.980251377,0.602647723,low
AR,268.9402564,0.439177239,1.980251377,0.602647723,low
AR,240.5235898,0.439177239,1.980251377,0.602647723,low
AR,400.5402564,0.439177239,1.980251377,0.602647723,low
AR,301.8652564,0.439177239,1.980251377,0.602647723,low
CA,588.9319231,0.697203556,4.831013979,0,medium
CA,305.7402564,0.594861749,2.51413709,1.557801878,medium
CA,1000.49859,0.575672661,1.997724771,1.947252347,medium
CA,706.6819231,0.63963629,2.668595549,0,medium
CA,598.9402564,0.594861749,2.67603933,1.947252347,medium
CA,605.4069231,0.575672661,1.579942553,2.336702817,medium
CA,425.8985898,0.575672661,2.308502635,2.336702817,medium
CA,564.5069231,0.594861749,2.121477633,1.168351408,medium
CA,331.4569231,0.652429015,5.023621816,0,medium
CA,402.6569231,0.671618104,4.303435988,0,medium
CA,309.8402564,0.741978096,4.948253532,0,medium
CA,505.5819231,0.620447201,2.941224034,0.602647723,medium
CA,426.3485898,0.63963629,3.524630384,0,medium
CA,303.2069231,0.575672661,1.864667183,2.726153286,medium
CA,363.2735898,0.543690846,2.221038206,3.115603755,low
CA,292.7569231,0.665221741,2.044248404,0,medium
CA,534.6485898,0.614050838,3.316204511,0.389450469,medium
CA,362.1569231,0.614050838,2.965416323,0.778900939,medium
CA,537.3569231,0.524501758,1.551097901,3.894504694,low
CA,322.2819231,0.556483572,2.133573778,2.726153286,medium
CA,401.6652564,0.646032653,3.492063841,0,medium
CA,382.4485898,0.588465387,2.530885598,1.168351408,medium
CA,637.4402564,0.575672661,1.582733971,1.947252347,medium
CA,336.6235898,0.614050838,3.43530501,1.557801878,medium
CA,625.8819231,0.575672661,2.191263082,1.557801878,medium
CA,342.8319231,0.671618104,3.446470681,0,medium
CA,457.3069231,0.607654475,2.547634105,0.778900939,medium
CA,309.8069231,0.671618104,2.838872043,0,medium
CA,385.9680787,0.633239927,2.501110473,0,medium
CA,264.3152564,0.703599919,4.053138847,0,medium
CA,459.6735898,0.588465387,2.885395676,2.225431254,medium
CA,503.2402564,0.646032653,2.686274529,0,medium
CA,629.2569231,0.460538129,1.495269542,5.563578135,low
CA,755.6735898,0.550087209,3.018453264,3.505054225,medium
CA,749.8735898,0.498916306,1.288704615,3.894504694,low
CA,516.3402564,0.473330854,1.365933845,3.894504694,low
CA,963.8235898,0.524501758,2.415506989,2.726153286,low
CA,637.4402564,0.518105395,0.81230262,3.894504694,low
CA,505.5819231,0.671618104,4.21969345,0,medium
CA,680.0652564,0.620447201,3.303177894,0.389450469,medium
CA,470.6235898,0.626843564,3.859600536,0.389450469,medium
CA,441.0985898,0.652429015,2.842593934,0,medium
CA,389.4485898,0.646032653,4.330419695,0,medium
CA,285.4069231,0.678014467,2.48250102,0,medium
CA,460.6819231,0.569276298,4.618866215,4.450862508,medium
CA,318.8235898,0.646032653,2.140087086,0,medium
CA,343.8819231,0.63963629,2.473196293,0,medium
CA,591.9485898,0.511709032,2.380149029,0.602647723,low
CA,486.5652564,0.665221741,2.573687339,0.389450469,medium
CA,581.7069231,0.633239927,3.305969312,0.389450469,medium
CA,516.3402564,0.633239927,3.848434864,1.168351408,medium
CA,519.9152564,0.716392644,5.465596323,0.389450469,medium
CA,249.8152564,0.665221741,3.002635229,0.389450469,medium
CA,365.5069231,0.697203556,2.553216941,0,medium
CA,420.1735898,0.594861749,2.952389706,1.168351408,medium
CA,422.2402564,0.601258112,2.189402136,1.168351408,medium
CA,456.9902564,0.594861749,2.941224034,1.168351408,medium
CA,336.3152564,0.831527177,6.265802799,0,high
CA,469.3152564,0.652429015,3.671645062,0,medium
CA,755.9735898,0.594861749,2.114964325,2.225431254,medium
CA,431.7235898,0.63963629,3.867044317,0.389450469,medium
CA,530.0569231,0.658825378,4.269938973,0,medium
CA,490.0902564,0.633239927,3.747013346,0,medium
CA,447.2069231,0.607654475,2.434116442,1.168351408,medium
CA,301.7902564,0.665221741,4.719357261,0.778900939,medium
CA,385.9680787,0.703599919,4.942670696,0.389450469,medium
CA,390.8985898,0.620447201,3.477176279,0.389450469,medium
CA,416.2819231,0.690807193,3.828894939,0.389450469,medium
CA,474.3319231,0.63963629,4.297853153,0,medium
CA,572.0235898,0.646032653,4.002893324,0.778900939,medium
CA,333.4069231,0.671618104,2.449934477,0,medium
CA,634.7152564,0.626843564,4.778907511,0,medium
CA,445.7235898,0.754770822,5.545616971,0,medium
CA,404.0985898,0.569276298,2.403410845,2.336702817,medium
CA,264.3152564,0.799545362,6.628687131,0.389450469,high
CA,663.2985898,0.588465387,3.744221928,1.947252347,medium
CA,370.4985898,0.550087209,2.101007235,2.726153286,medium
CA,457.3152564,0.48612358,1.940035467,3.894504694,low
CA,405.4735898,0.518105395,1.22729342,3.894504694,low
CA,385.0569231,0.550087209,1.859084347,3.115603755,medium
CA,589.2402564,0.607654475,2.664873659,1.168351408,medium
CA,524.2485898,0.439177239,1.980251377,0.602647723,low
CA,206.3485898,0.607654475,2.608114827,1.168351408,medium
CA,392.3235898,0.614050838,4.452311612,0.778900939,medium
CA,493.3735898,0.658825378,3.461358244,0,medium
CA,534.6485898,0.646032653,4.700747808,0,medium
CA,1080.131923,0.68441083,6.148563246,0,medium
CA,612.0902564,0.626843564,3.575806379,0.778900939,medium
CA,406.8735898,0.607654475,3.940551656,0,medium
CA,712.2652564,0.658825378,4.388108999,0.389450469,medium
CA,471.4319231,0.626843564,2.797000774,0.778900939,medium
CA,579.2985898,0.614050838,3.221296301,0.778900939,medium
CA,532.4985898,0.626843564,2.722562963,0.389450469,medium
CA,949.6485898,0.652429015,3.633495683,0.389450469,medium
CA,443.1235898,0.550087209,1.740914321,5.563578135,medium
CA,240.0485898,0.722789007,4.082913971,0,medium
CA,407.9319231,0.556483572,3.305038839,4.450862508,medium
CA,450.2819231,0.614050838,2.981234358,0.778900939,medium
CA,677.0902564,0.620447201,3.204547793,0.778900939,medium
CA,447.2069231,0.439177239,1.980251377,0.602647723,low
CA,1056.340256,0.607654475,2.916101273,1.557801878,medium
CA,494.0485898,0.607654475,2.151252758,0.778900939,medium
CA,581.0485898,0.901887168,8.83669872,0.778900939,high
CA,580.0069231,0.658825378,5.560504533,0,medium
CA,443.2569231,0.620447201,2.995191448,0.778900939,medium
CA,865.1402564,0.652429015,3.079864459,0.389450469,medium
CA,349.7652564,0.575672661,3.55161409,2.336702817,medium
CA,423.1985898,0.703599919,4.534193205,0,medium
CA,625.8819231,0.582069024,2.139156613,1.947252347,medium
CA,471.2569231,0.709996282,6.090873942,0,medium
CA,429.8569231,0.678014467,2.949598288,0,medium
CA,456.8319231,0.607654475,2.558799777,1.168351408,medium
CA,815.0152564,0.524501758,2.237786714,5.007220321,low
CA,574.1735898,0.665221741,3.564640707,0,medium
CA,781.3235898,0.658825378,3.111500529,0.778900939,medium
CA,784.0402564,0.652429015,3.567432125,0,medium
CA,512.8819231,0.671618104,2.955181124,0,medium
CA,709.1485898,0.633239927,2.743963833,0,medium
CA,365.7485898,0.63963629,3.37575476,0.389450469,medium
CA,393.4402564,0.652429015,3.131970927,0,medium
CA,515.8569231,0.646032653,2.216385843,0,medium
CA,530.4985898,0.575672661,3.012870428,2.336702817,medium
CA,412.4485898,0.582069024,0.689480231,3.115603755,medium
CA,315.9485898,0.582069024,2.841663461,1.947252347,medium
CA,385.9680787,0.626843564,1.32220163,0.389450469,medium
CA,645.0235898,0.588465387,2.935641199,1.947252347,medium
CA,614.6152564,0.575672661,3.038923662,2.336702817,medium
CA,385.9680787,0.652429015,3.643730882,0.389450469,medium
CA,333.8235898,0.562879935,2.357817685,2.726153286,medium
CA,400.8319231,0.620447201,3.208269684,0.389450469,medium
CA,417.5902564,0.780356273,5.581905404,0,high
CA,998.6652564,0.620447201,3.360867198,0.389450469,medium
CA,664.8902564,0.63963629,4.414162233,0,medium
CA,469.3152564,0.620447201,3.112431001,0.389450469,medium
CA,558.7235898,0.607654475,2.46482204,1.168351408,medium
CA,610.2069231,0.594861749,2.201498281,0.778900939,medium
CA,292.7569231,0.665221741,2.461100149,0,medium
CA,556.5985898,0.594861749,3.605581504,1.168351408,medium
CA,403.2235898,0.562879935,2.252674276,2.726153286,medium
CA,480.4485898,0.601258112,1.903747034,1.168351408,medium
CA,400.7319231,0.562879935,3.011939956,3.115603755,medium
CA,837.2985898,0.652429015,2.663943186,0,medium
CA,818.7402564,0.633239927,3.357145307,0.389450469,medium
CA,634.1569231,0.614050838,2.508554254,0.778900939,medium
CA,554.1985898,0.601258112,3.080794931,1.168351408,medium
CA,419.9985898,0.614050838,2.408993681,0.389450469,medium
CA,579.8402564,0.68441083,4.465338229,0,medium
CA,787.7319231,0.652429015,3.860531009,0,medium
CA,513.5485898,0.620447201,2.336416814,0.389450469,medium
CA,638.9985898,0.690807193,5.259031396,0,medium
CA,440.5152564,0.63963629,3.192451649,0,medium
CA,394.9735898,0.537294483,1.753940938,3.505054225,low
CA,371.2319231,0.671618104,5.117599554,0,medium
CA,366.8985898,0.614050838,2.475987711,1.168351408,medium
CA,503.2402564,0.633239927,2.759781868,0.778900939,medium
CA,391.7735898,0.703599919,4.354611984,0,medium
CA,385.9680787,0.607654475,2.908657492,1.168351408,medium
CA,335.9485898,0.537294483,1.120289066,4.450862508,low
CA,666.6485898,0.63963629,3.378546178,0,medium
CA,721.3235898,0.594861749,2.422950771,2.225431254,medium
CA,404.1985898,0.594861749,3.849365337,1.557801878,medium
CA,886.2069231,0.646032653,3.844712974,0,medium
CA,495.0569231,0.626843564,3.47066297,0.778900939,medium
CA,249.8152564,0.614050838,3.051950279,0.778900939,medium
CA,385.9680787,0.594861749,2.636029007,1.947252347,medium
CA,396.1985898,0.68441083,3.301316949,1.168351408,medium
CA,834.8069231,0.658825378,3.539517946,0,medium
CA,463.9902564,0.697203556,2.873299531,0,medium
CA,277.6652564,0.665221741,3.94520402,0,medium
CA,507.2069231,0.697203556,4.411370815,0,medium
CA,612.0902564,0.614050838,2.926336472,0.778900939,medium
CA,385.9680787,0.626843564,2.288032237,0,medium
CA,213.1402564,0.505312669,1.622744295,0.602647723,low
