hospitalID,expenditure,efficiency
743,18602,0.005273626
744,16769,0.005700996
745,16769,0.005700996
746,15590,0.006247595
747,13176,0.007551609
748,17904,0.005456881
749,17468,0.005650332
750,22157,0.004432008
751,17468,0.005650332
752,22157,0.004432008
753,18752,0.005178114
754,19363,0.004937251
755,16590,0.005840868
756,15746,0.006287311
757,20067,0.00482384
758,21601,0.004481274
759,16963,0.005812651
760,15890,0.006154814
761,18692,0.004863043
762,19234,0.005074348
763,18832,0.00529418
764,14533,0.006874011
765,16336,0.005852106
766,14782,0.006710865
767,13152,0.007215633
768,19340,0.005005171
769,15450,0.006466019
770,20381,0.004872185
771,19085,0.005119204
772,20381,0.004872185
773,19085,0.005119204
774,21135,0.004627395
775,16922,0.005909467
776,17597,0.005580497
777,18566,0.005310783
778,17799,0.005573347
779,18915,0.005255089
780,19354,0.005022218
781,16785,0.005898123
782,19347,0.005122241
783,19709,0.004931757
784,17106,0.005413305
785,18030,0.005296728
786,19327,0.005075801
787,20117,0.004906298
788,22019,0.004496117
789,22019,0.004496117
790,21910,0.004427202
791,20318,0.004842996
792,18752,0.004676834
793,21471,0.004587583
794,16885,0.005786201
795,18421,0.005260301
796,16300,0.006018405
797,22050,0.004199546
798,19885,0.004978627
799,20044,0.004784474
800,19885,0.004978627
801,20044,0.004784474
802,14360,0.006552925
803,20278,0.004699675
804,14360,0.006552925
805,20278,0.004699675
806,20992,0.004716082
807,17794,0.005440036
808,19465,0.004983303
809,15239,0.006358685
810,15621,0.006241598
811,16489,0.00588271
812,15858,0.006198764
813,17761,0.005523338
814,16496,0.005910524
815,18418,0.005369747
816,16496,0.005910524
817,18418,0.005369747
818,19799,0.004995202
819,17357,0.00561733
820,16513,0.005238297
821,15864,0.005376954
822,21001,0.004690253
823,19509,0.004966938
824,21066,0.004623564
825,19028,0.005124028
826,17897,0.005498128
827,25696,0.003412983
828,20996,0.004710421
829,20428,0.00486587
830,21386,0.004568409
831,18907,0.00515682
832,19800,0.004939394
833,18432,0.005360243
834,21586,0.004484388
835,18764,0.005308037
836,19982,0.004904414
837,19433,0.004806257
838,17955,0.005296575
839,14671,0.006666212
840,15926,0.006027879
841,14431,0.006901809
842,19263,0.005071899
843,19921,0.004944531
844,16368,0.006109482
845,20088,0.004908403
846,14546,0.006586003
847,17699,0.005599186
848,19108,0.004997907
849,14935,0.006213592
850,18262,0.004993977
851,14935,0.006213592
852,18262,0.004993977
853,17222,0.005725235
